GISJOIN,diff
G1701130,0.014722450788000052
G1701150,0.18127022397099996
G1701170,0.350166811389
G1701190,0.15604916264000002
G1701210,0.44855421686800007
G1701230,0.337455531086
G1701250,0.31758122182500004
G1701270,0.49585406301900004
G1701290,0.377082360267
G1701310,0.20660567898299997
G1701330,0.37181503617499995
G1701350,0.39956348896999994
G1701370,0.298966249059
G1701390,0.47946529231799995
G1701410,0.265526514833
G1701430,-0.027586652037000003
G1701450,0.451576344529
G1701470,0.33599280818099997
G1701490,0.5815231965680001
G1701510,0.611632270169
G1701530,0.30974524868500003
G1701550,0.20123537061100005
G1701570,0.46828677309
G1701590,0.544823066842
G1701610,-0.08399104349600006
G1701630,-0.05621597134300005
G1701650,0.5071212390959999
G1701670,0.09424496226899998
G1701690,0.382120253165
G1701710,0.5563298490130001
G1701730,0.5434384164220001
G1701750,0.380125600296
G1701770,0.169731113956
G1701790,0.28497008540200003
G1701810,0.398285177355
G1701830,0.292157454948
G1701850,0.5355423917069999
G1701870,0.16675324675300007
G1701890,0.558568329718
G1701910,0.716448643411
G1701930,0.579914940321
G1701950,0.063149543832
G1701970,-0.05671282773799996
G1701990,0.412577175227
G1702010,0.01174055756600001
G1702030,0.41838155655299997
G1800010,0.524580105836
G1800030,0.19603256806199992
G1800050,0.333323041773
G1800070,0.470443349753
G1800090,0.436748237246
G1800110,0.295468014099
G1800130,0.31575619625699997
G1800150,0.509002206993
G1800170,0.42016271666099997
G1800190,0.21957185347499997
G1800210,0.552624567014
G1800230,0.48007733692000004
G1800250,0.368111522545
G1800270,0.628260059612
G1800290,0.553199498118
G1800310,0.5738621000449999
G1800330,0.482457183635
G1800350,0.136848699076
G1800370,0.400461916956
G1800390,0.324343810882
G1800410,0.481322140609
G1800430,0.20115513767600002
G1800450,0.559941129248
G1800470,0.609463148316
G1800490,0.483639837593
G1800510,0.47563340227500006
G1800530,0.39541978683800005
G1800550,0.5337499091760001
G1800570,0.19582763783100005
G1800590,0.448247147972
G1800610,0.44349093264300005
G1800630,0.341903850753
G1800650,0.43691158157
G1800670,0.33901071992199994
G1800690,0.5097658695380001
G1800710,0.5141455624
G1800730,0.45405445952999995
G1800750,0.478271791007
G1800770,0.312978233415
G1800790,0.5270355375620001
G1800810,0.42485920065300004
G1800830,0.47180778918800004
G1800850,0.551540414329
G1800870,0.5176926298160001
G1800890,-0.20640009588200003
G1800910,0.06407521002799998
G1800930,0.5149926609350001
G1800950,0.256820723071
G1800970,-0.228343534495
G1800990,0.415815193248
G1801010,0.585396297067
G1801030,0.536383928571
G1801050,-0.23698870242799996
G1801070,0.509171578041
G1801090,0.565554842848
G1801110,0.46123294767699996
G1801130,0.491059798698
G1801150,0.49091532396299997
G1801170,0.45817560141700003
G1801190,0.493544600939
G1801210,0.520377128954
G1801230,0.18616822429900004
G1801250,0.518822151581
G1801270,0.06782408617800001
G1801290,0.39187017994900003
G1801310,0.46477837042400005
G1801330,0.495980926431
G1801350,0.484793420046
G1801370,0.573494917904
G1801390,0.5221790962020001
G1801410,-0.002083104923000012
G1801430,0.37880794702
G1801450,0.47231669919100006
G1801470,0.372627773873
G1801490,0.42033383915100003
G1801510,0.43950447350300004
G1801530,0.4702652179
G1801550,0.44737565265199997
G1801570,0.05659280315299997
G1801590,0.532889480692
G1801610,0.5264759586119999
G1801630,0.16851730894899997
G1801650,0.351511644727
G1801670,0.15168439940399997
G1801690,0.5069698099140001
G1801710,0.5248787956109999
G1801730,0.339322503293
G1801750,0.49148504367800006
G1801770,0.30130987292300004
G1801790,0.5649622799659999
G1801810,0.429206220965
G1801830,0.513550048278
G1900010,0.353551476456
G1900030,0.397694524495
G1900050,0.24323533713700002
G1900070,0.363845144357
G1900090,0.312518496597
G1900110,0.25960555149799996
G1900130,-0.07314025402999996
G1900150,0.13880148741399995
G1900170,0.138576779027
G1900190,0.15172141659300004
G1900210,0.249908301748
G1900230,0.36945152206
G1900250,0.40548481880500004
G1900270,0.31835170100599997
G1900290,0.398157335223
G1900310,0.180801193267
G1900330,0.07701144346799998
G1900350,0.406078241189
G1900370,0.231663263703
G1900390,0.282179341657
G1900410,0.42425661437600004
G1900430,0.22785227522600005
G1900450,0.05143309301999999
G1900470,0.38225007286499996
G1900490,0.09639258845700005
G1900510,0.452306894764
G1900530,0.29570618417499994
G1900550,0.29809056192
G1900570,0.06952386041800002
G1900590,0.360300575778
G1900610,0.012439586434999983
G1900630,0.37497344380700004
G1900650,0.19616834810999995
G1900670,0.14953036944300002
G1900690,0.338351983723
G1900710,0.40574001125399994
G1900730,0.23750524989500005
G1900750,0.394472361809
G1900770,0.33303855677399996
G1900790,0.22862037158999998
G1900810,0.41100601891599997
G1900830,0.29170129407600004
G1900850,0.37530496069400004
G1900870,0.308744346328
G1900890,0.20789882405199994
G1900910,0.459566858733
G1900930,0.518941504179
G1900950,0.24155193992500007
G1900970,0.19443355546900004
G1900990,0.18363868768599995
G1901010,0.004499437570000042
G1901030,-0.382735962558
G1901050,0.19368694436100004
G1901070,0.436393577604
G1901090,0.365432098766
G1901110,0.16151764928000006
G1901130,-0.089810228145
G1901150,0.286668015376
G1901170,0.38096346288099997
G1901190,0.674084595959
G1901210,0.31326997536
G1901230,0.45721364589300006
G1901250,0.31166685655699994
G1901270,0.08485875706200002
G1901290,0.390378548896
G1901310,0.242723880597
G1901330,0.413480662983
G1901350,0.41155046826200004
G1901370,0.42396958783499994
G1901390,0.06627894792000005
G1901410,0.601660315732
G1901430,0.618079449483
G1901450,0.44115958668200006
G1901470,0.360290971331
G1901490,0.519338285977
G1901510,0.45157922213600005
G1901530,-0.114919884423
G1901550,0.21550703358200007
G1901570,0.06850304343399993
G1901590,0.397540983607
G1901610,0.469755719271
G1901630,-0.014361789863000018
G1901650,0.42918660286999993
G1901670,0.69331257991
G1901690,-0.12214271110199998
G1901710,0.20541917554399997
